"id";"name";"slug";"kanton_code";"kanton_name";"plz";"ort";"adresse";"postfach";"telefon";"fax";"email";"homepage";"online_kalender_vorhanden_ja_nein";"online_kalender_url";"zustaendige_gemeinden"
"regionales-zivilstandsamt-aarau-aarau-ag";"Regionales Zivilstandsamt Aarau";"regionales-zivilstandsamt-aarau-aarau-ag";"AG";"Aargau";"5000";"Aarau";"Laurenzenvorstadt 1";"";"";"";"zivilstandsamt@aarau.ch";"";"";"";"Aarau, Aarau (Rohr), Biberstein, Buchs (AG), Densbüren, Erlinsbach (AG), Gränichen, Küttigen, Oberentfelden, Suhr, Unterentfelden"
"regionales-zivilstandsamt-bremgarten-bremgarten-ag-ag";"Regionales Zivilstandsamt Bremgarten";"regionales-zivilstandsamt-bremgarten-bremgarten-ag-ag";"AG";"Aargau";"5620";"Bremgarten (AG)";"Rathausplatz 1";"";"";"+41 56 648 74 90";"regionaleszivilstandsamt@bremgarten.ch";"";"";"";"Arni (AG), Berikon, Bremgarten, Bremgarten (Hermetschwil-Staffeln), Eggenwil, Fischbach-Göslikon, Islisberg, Jonen, Oberlunkhofen, Oberwil-Lieli, Rudolfstetten-Friedlisberg, Unterlunkhofen, Widen, Zufikon"
"regionales-zivilstandsamt-brugg-brugg-ag";"Regionales Zivilstandsamt Brugg";"regionales-zivilstandsamt-brugg-brugg-ag";"AG";"Aargau";"5201";"Brugg";"Untere Hofstatt 4";"Postfach";"";"";"zivilstandsamt@brugg.ch";"";"";"";"Auenstein, Birr, Birrhard, Bözberg, Bözberg (Gallenkirch), Bözberg (Linn), Bözberg (Oberbözberg), Bözberg (Unterbözberg), Brugg, Brugg (Schinznach-Bad), Brugg (Umiken), Habsburg, Hausen, Lupfig, Lupfig (Scherz), Mönthal, Mülligen, Remigen, Riniken, Rüfenach, Schinznach, Schinznach (Oberflachs), Schinznach (Schinznach-Dorf), Thalheim, Veltheim, Villigen, Villigen (Stilli), Villnachern, Windisch"
"regionales-zivilstandsamt-laufenburg-laufenburg-ag";"Regionales Zivilstandsamt Laufenburg";"regionales-zivilstandsamt-laufenburg-laufenburg-ag";"AG";"Aargau";"5080";"Laufenburg";"Gerichtsgasse 80";"Postfach 208";"";"+41 62 869 11 39";"zivilstandsamt@laufenburg.ch";"";"";"";"Böztal, Böztal (Bözen), Böztal (Effingen), Böztal (Elfingen), Böztal (Hornussen), Eiken, Frick, Gansingen, Gipf-Oberfrick, Herznach-Ueken, Herznach-Ueken (Herznach), Herznach-Ueken (Ueken), Kaisten, Kaisten (Ittenthal), Laufenburg, Laufenburg (Sulz), Mettauertal, Mettauertal (Etzgen), Mettauertal (Hottwil), Mettauertal (Mettau), Mettauertal (Oberhofen), Mettauertal (Wil), Münchwilen (AG), Oberhof, Oeschgen, Schwaderloch, Sisseln, Wittnau, Wölflinswil, Zeihen"
"regionales-zivilstandsamt-lenzburg-lenzburg-ag";"Regionales Zivilstandsamt Lenzburg";"regionales-zivilstandsamt-lenzburg-lenzburg-ag";"AG";"Aargau";"5600";"Lenzburg";"Rathaus";"Rathausgasse 16";"";"";"zivilstandsamt@lenzburg.ch";"";"";"";"Ammerswil, Boniswil, Brunegg, Dintikon, Egliswil, Fahrwangen, Hallwil, Hendschiken, Holderbank (AG), Hunzenschwil, Lenzburg, Meisterschwanden, Möriken-Wildegg, Niederlenz, Othmarsingen, Rupperswil, Schafisheim, Seengen, Seon, Staufen"
"regionales-zivilstandsamt-leuggern-leuggern-ag";"Regionales Zivilstandsamt Leuggern";"regionales-zivilstandsamt-leuggern-leuggern-ag";"AG";"Aargau";"5316";"Leuggern";"Schulweg 1";"";"";"+41 56 268 60 53";"rza@leuggern.ch";"";"";"";"Böttstein, Döttingen, Full-Reuenthal, Klingnau, Koblenz, Leibstadt, Leuggern, Mandach"
"regionales-zivilstandsamt-mellingen-mellingen-ag";"Regionales Zivilstandsamt Mellingen";"regionales-zivilstandsamt-mellingen-mellingen-ag";"AG";"Aargau";"5507";"Mellingen";"Iberghof, Kleine Kirchgasse 11";"";"";"+41 56 481 88 85";"zivilstandsamt@mellingen.ch";"";"";"";"Bellikon, Fislisbach, Künten, Mägenwil, Mellingen, Niederrohrdorf, Oberrohrdorf, Remetschwil, Stetten (AG), Tägerig, Wohlenschwil"
"regionales-zivilstandsamt-menziken-burg-ag";"Regionales Zivilstandsamt Menziken";"regionales-zivilstandsamt-menziken-burg-ag";"AG";"Aargau";"5736";"Burg";"Hauptstrasse 80";"";"";"";"zivilstandsamt@menziken.ch";"";"";"";"Beinwil am See, Birrwil, Dürrenäsch, Gontenschwil, Leimbach, Leutwil, Menziken, Menziken (Burg), Oberkulm, Reinach (AG), Teufenthal, Unterkulm, Zetzwil"
"regionales-zivilstandsamt-muri-muri-ag";"Regionales Zivilstandsamt Muri";"regionales-zivilstandsamt-muri-muri-ag";"AG";"Aargau";"5630";"Muri";"Seetalstrasse 6";"";"";"+41 56 675 52 19";"zivilstandsamt@muri.ch";"";"";"";"Aristau, Beinwil (Freiamt), Besenbüren, Bettwil, Boswil, Bünzen, Buttwil, Geltwil, Kallern, Merenschwand, Merenschwand (Benzenschwil), Muri, Rottenschwil, Waltenschwil"
"regionales-zivilstandsamt-rheinfelden-rheinfelden-ag";"Regionales Zivilstandsamt Rheinfelden";"regionales-zivilstandsamt-rheinfelden-rheinfelden-ag";"AG";"Aargau";"4310";"Rheinfelden";"Marktgasse 16";"Postfach";"";"";"zivilstandsamt@rheinfelden.ch";"";"";"";"Hellikon, Kaiseraugst, Magden, Möhlin, Mumpf, Obermumpf, Olsberg (AG), Rheinfelden, Schupfart, Stein (AG), Wallbach, Wegenstetten, Zeiningen, Zuzgen"
